"count","summary"
"1","Device display name: NLT-PC-GM0LVEQJ (Carmen H) - Memory added: 'Physical Memory 1', DeviceLocator: 'Controller1-ChannelA-DIMM0', Capacity: '8589934592', InstallDate: '2026-04-07T20:04:23Z' - MAJOR/HIGH"
"1","Device display name: BWP-5CD450HRXW (Finnegan R) - Disk Volume Free space for 'C:' is less than or equal to 5% from 2026-04-07T16:14:04Z to 2026-04-07T16:14:04Z - MODERATE/MEDIUM"
"1","Device display name: NLT-PC-GM0LVEQJ (Carmen H) - Memory removed: '_system_', DeviceLocator: 'N/A', Capacity: '16775528448' - CRITICAL/HIGH"
"1","ATT: Shaun - Microsoft issue again - AR - Desktop"
"1","Device display name: NLTDSAGE01 (SAGE) - Disk Volume Free space for 'F:' is less than or equal to 20% from 2026-04-09T02:58:39Z to 2026-04-09T02:58:39Z - MODERATE/MEDIUM"
"1","Device name: NLTABNEAD02 - EventId: 4722, EventTime: 2026-04-09T03:17:14Z, Source: Microsoft-Windows-Security-Auditing, Message: A user account was enabled."
"1","Device display name: NLTDSAGE01 (SAGE) - Disk Volume Free space for 'F:' is less than or equal to 20% from 2026-04-09T00:56:18Z to 2026-04-09T00:56:18Z - MODERATE/MEDIUM"
"1","Device display name: NLTDSAGE01 (SAGE) - Disk Volume Free space for 'F:' is less than or equal to 20% from 2026-04-09T01:36:26Z to 2026-04-09T01:36:26Z - MODERATE/MEDIUM"
"1","Mail Migration from Cpanel to O365 (existing tenancy)"
"1","Scan to Email failing to send"
"1","Device display name: NLTDSAGE01 (SAGE) - Disk Volume Free space for 'F:' is less than or equal to 20% from 2026-04-09T03:38:49Z to 2026-04-09T03:38:49Z - MODERATE/MEDIUM"
"1","Add Mobile number to 3CX for SMS and outgoing calls"
"1","Disk Volume Free space for 'F:' is less than or equal to 20% from 2026-04-09T00:16:09Z to 2026-04-09T00:16:09Z - MODERATE/MEDIUM"
"1","Device display name: BWP-5CD450HRXW (Finnegan R) - Disk Volume Free space for 'C:' is less than or equal to 5% from 2026-04-08T12:46:21Z to 2026-04-08T12:46:21Z - MODERATE/MEDIUM"
"1","Device display name: BWP-5CD450HRXW (Finnegan R) - Disk Volume Free space for 'C:' is less than or equal to 5% from 2026-04-08T17:01:58Z to 2026-04-08T17:01:58Z - MODERATE/MEDIUM"
"1","Disk Volume Free space for 'C:' is less than or equal to 5% from 2026-04-08T08:29:25Z to 2026-04-08T08:29:25Z - MODERATE/MEDIUM"
"1","Charity Email Signature"
"1","Device display name: NLTDSAGE01 (SAGE) - Disk Volume Free space for 'F:' is less than or equal to 20% from 2026-04-08T22:55:56Z to 2026-04-08T22:55:56Z - MODERATE/MEDIUM"
"1","Device display name: NLTDSAGE01 (SAGE) - Disk Volume Free space for 'F:' is less than or equal to 20% from 2026-04-08T23:36:04Z to 2026-04-08T23:36:04Z - MODERATE/MEDIUM"
"1","Device display name: BWP-5CD450HRXW (Finnegan R) - Disk Volume Free space for 'C:' is less than or equal to 5% from 2026-04-08T22:01:39Z to 2026-04-08T22:01:39Z - MODERATE/MEDIUM"
"1","Disk Volume Free space for 'F:' is less than or equal to 20% from 2026-04-08T22:15:48Z to 2026-04-08T22:15:48Z - MODERATE/MEDIUM"
