"count","ticket_summary","suggested_title","suggested_tags"
"1","Device display name: NLTDSAGE01 (SAGE) - Disk Volume Free space for 'F:' is less than or equal to 20% from 2026-04-09T00:56:18Z to 2026-04-09T00:56:18Z - MODERATE/MEDIUM","How to: Device display name: NLTDSAGE01 (SAGE) - Disk Volume Free space for 'F:' is less than or eâ€¦",""
"1","Device display name: NLTDSAGE01 (SAGE) - Disk Volume Free space for 'F:' is less than or equal to 20% from 2026-04-09T01:36:26Z to 2026-04-09T01:36:26Z - MODERATE/MEDIUM","How to: Device display name: NLTDSAGE01 (SAGE) - Disk Volume Free space for 'F:' is less than or eâ€¦",""
"1","Mail Migration from Cpanel to O365 (existing tenancy)","How to: Mail Migration from Cpanel to O365 (existing tenancy)",""
"1","Scan to Email failing to send","How to: Scan to Email failing to send","email; printing"
"1","Device display name: NLTDSAGE01 (SAGE) - Disk Volume Free space for 'F:' is less than or equal to 20% from 2026-04-09T03:38:49Z to 2026-04-09T03:38:49Z - MODERATE/MEDIUM","How to: Device display name: NLTDSAGE01 (SAGE) - Disk Volume Free space for 'F:' is less than or eâ€¦",""
"1","Add Mobile number to 3CX for SMS and outgoing calls","How to: Add Mobile number to 3CX for SMS and outgoing calls","telecoms"
"1","Disk Volume Free space for 'F:' is less than or equal to 20% from 2026-04-09T00:16:09Z to 2026-04-09T00:16:09Z - MODERATE/MEDIUM","How to: Disk Volume Free space for 'F:' is less than or equal to 20% from 2026-04-09T00:16:09Z toâ€¦",""
"1","Device display name: BWP-5CD450HRXW (Finnegan R) - Disk Volume Free space for 'C:' is less than or equal to 5% from 2026-04-08T12:46:21Z to 2026-04-08T12:46:21Z - MODERATE/MEDIUM","How to: Device display name: BWP-5CD450HRXW (Finnegan R) - Disk Volume Free space for 'C:' is lessâ€¦",""
"1","Device display name: BWP-5CD450HRXW (Finnegan R) - Disk Volume Free space for 'C:' is less than or equal to 5% from 2026-04-08T17:01:58Z to 2026-04-08T17:01:58Z - MODERATE/MEDIUM","How to: Device display name: BWP-5CD450HRXW (Finnegan R) - Disk Volume Free space for 'C:' is lessâ€¦",""
"1","Disk Volume Free space for 'C:' is less than or equal to 5% from 2026-04-08T08:29:25Z to 2026-04-08T08:29:25Z - MODERATE/MEDIUM","How to: Disk Volume Free space for 'C:' is less than or equal to 5% from 2026-04-08T08:29:25Z to 2â€¦",""
"1","Charity Email Signature","How to: Charity Email Signature","authentication; email"
"1","Device display name: NLTDSAGE01 (SAGE) - Disk Volume Free space for 'F:' is less than or equal to 20% from 2026-04-08T22:55:56Z to 2026-04-08T22:55:56Z - MODERATE/MEDIUM","How to: Device display name: NLTDSAGE01 (SAGE) - Disk Volume Free space for 'F:' is less than or eâ€¦",""
"1","Device display name: NLTDSAGE01 (SAGE) - Disk Volume Free space for 'F:' is less than or equal to 20% from 2026-04-08T23:36:04Z to 2026-04-08T23:36:04Z - MODERATE/MEDIUM","How to: Device display name: NLTDSAGE01 (SAGE) - Disk Volume Free space for 'F:' is less than or eâ€¦",""
"1","Device display name: BWP-5CD450HRXW (Finnegan R) - Disk Volume Free space for 'C:' is less than or equal to 5% from 2026-04-08T22:01:39Z to 2026-04-08T22:01:39Z - MODERATE/MEDIUM","How to: Device display name: BWP-5CD450HRXW (Finnegan R) - Disk Volume Free space for 'C:' is lessâ€¦",""
"1","Disk Volume Free space for 'F:' is less than or equal to 20% from 2026-04-08T22:15:48Z to 2026-04-08T22:15:48Z - MODERATE/MEDIUM","How to: Disk Volume Free space for 'F:' is less than or equal to 20% from 2026-04-08T22:15:48Z toâ€¦",""
